type,bridge,MV,path
VanGogh,0.38728222,0.8321275,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(247)_0000.png
VanGogh,0.5362089,0.54558957,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(248)_0000.png
VanGogh,0.6630081,0.5453493,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(249)_0000.png
VanGogh,0.61448914,0.7405019,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(250)_0000.png
VanGogh,0.057805207,0.8747418,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(251)_0000.png
VanGogh,0.16114739,0.8700727,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(252)_0000.png
VanGogh,0.10331555,0.99420893,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(253)_0000.png
VanGogh,0.5288161,0.6097512,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(254)_0000.png
VanGogh,0.7313748,0.57217395,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(255)_0000.png
VanGogh,0.31799623,0.89075667,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(256)_0000.png
VanGogh,0.6573738,0.6218604,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(257)_0000.png
VanGogh,0.22724839,0.86946625,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(258)_0000.png
VanGogh,0.679797,0.71796536,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(259)_0000.png
VanGogh,0.03703746,0.9098347,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(260)_0000.png
VanGogh,0.58340895,0.55661684,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(261)_0000.png
VanGogh,0.17249486,0.8871728,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(262)_0000.png
VanGogh,0.8110199,0.58094716,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(263)_0000.png
VanGogh,0.22814251,0.6649613,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(264)_0000.png
VanGogh,0.6405487,0.7117031,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(265)_0000.png
VanGogh,0.7191564,0.6837354,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(266)_0000.png
